"Advantage Energy, Inc",5E9D8FE3-FCC5-477E-9FC7054735F4AEF6,11-10-2014T10:03,Energy Supplier
"Agway Energy Services, LLC",F9FEECFA-190F-4DBC-BE780002C270F67C,11-10-2014T10:03,Energy Supplier
Allegheny Energy Supply Co LLC,74A7401B-852D-4B07-9E8B338E178B4071,11-10-2014T10:03,Energy Supplier
"Alliance Power Company, LLC.",897187AB-9E26-460A-9865A77804838B8F,11-10-2014T10:03,Energy Supplier
Ameren Energy Marketing,ACDFDB00-9F56-4C35-A7087E42034F6732,11-10-2014T10:03,Energy Supplier
American Power Partners LLC,230F0612-EB3A-4168-AC8CF008397EC66,11-10-2014T10:03,Energy Supplier
American PowerNet,B941F67C-D0AE-4EF2-A5B65E69B8CF85B4,11-10-2014T10:03,Energy Supplier
"Amerigreen Energy, LLC",655E3902-D43F-468E-903D4E27C3893905,11-10-2014T10:03,Energy Supplier
AmeriPower LLC,A55CE2E2-0AF5-4E6A-BA57FCD5EA4EE3F1,11-10-2014T10:03,Energy Supplier
Amigo Energy,368957D1-D18F-4C41-BFBF2D22514DF100,11-10-2014T10:03,Energy Supplier
Andeler Power,7A771563-BDAA-4350-90005ECD12259001,11-10-2014T10:03,Energy Supplier
Anthracite Power & Light,97C17FCE-550C-4A5F-BBCC714930CDC16,11-10-2014T10:03,Energy Supplier
AP Holdings LLC,A72CD011-AD6E-451D-9858B469ACC4C0F3,11-10-2014T10:03,Energy Supplier
"APN Starfirst, L.P.",4C8A0D40-A1DA-4700-91D55115B0612051,11-10-2014T10:03,Energy Supplier
APNA Energy,877ABF2A-F7AF-4634-966BCB58AD35E454,11-10-2014T10:03,Energy Supplier
"Backyard Farms Energy, LLC",52BF164C-9BD4-4AB4-88A745AB202FAF2B,11-10-2014T10:03,Energy Supplier
BluCo Energy LLC,10B9533E-8AA8-4A70-BCA7C327A3654534,11-10-2014T10:03,Energy Supplier
"Bluerock Energy, Inc.",8F26AB1C-E8AB-4EF6-8DB83052BDA39200,11-10-2014T10:03,Energy Supplier
"Bounce Energy, Inc.",DA737C2E-31F1-49DF-9F6215725F5F8104,11-10-2014T10:03,Energy Supplier
BP Energy Company,3761D23F-2F8B-4239-ADC225AD07BCD,11-10-2014T10:03,Energy Supplier
"Brilliant Energy, LLC",10D8CC28-2253-49E3-AC366203AF76114C,11-10-2014T10:03,Energy Supplier
Calpine Power America LLC,04328B60-F30B-428D-ADD86C3684A36300,11-10-2014T10:03,Energy Supplier
"CECG Maine, LLC",6AF5E5DA-B433-436F-82BAF35EA872CA23,11-10-2014T10:03,Energy Supplier
NYSEG Solutions Inc,DAA4C9ED-E421-4B8F-B3A0A5B6679300F,11-10-2014T10:03,Energy Supplier
OnPAC Energy,96C73B6F-E2DE-4515-8835216B0000EA00,11-10-2014T10:03,Energy Supplier
Our Energy LLC,E6210592-08EC-497C-9C8EA4A7618271AA,11-10-2014T10:03,Energy Supplier
Palmco,83028DF9-1AF0-40D5-9203FA00CBFBF93,11-10-2014T10:03,Energy Supplier
PBF Power Marketing LLC,EFFB2DFB-6C4A-48E8-B30006BF11EB7337,11-10-2014T10:03,Energy Supplier
Penstar Power,07195AD8-0E3D-4EB7-A9397C5123C5E57E,11-10-2014T10:03,Energy Supplier
Pilot Power Group Inc,CDF4765E-0F5B-4C42-9E901E5BB00300C,11-10-2014T10:03,Energy Supplier
"Plymouth Rock Energy, LLC",F49DF480-5683-4A6D-ADF027F0CC99ECCC,11-10-2014T10:03,Energy Supplier
PNE Energy Supply LLC,A5862C99-A74D-45B2-B3F603AA00DE2499,11-10-2014T10:03,Energy Supplier
"Potentia Energy, LLC",65DD4C56-5F57-4E2C-86A91F6683A4EEA9,11-10-2014T10:03,Energy Supplier
Power Choice/Pepco Energy Serv,22F8E360-5F8B-435F-B073F062B600EBC5,11-10-2014T10:03,Energy Supplier
PPL EnergyPlus LLC,6154DA55-9B0C-4CB9-96FB90A946DDC7F3,11-10-2014T10:03,Energy Supplier
Public Power LLC,064AD964-8555-48E2-B57CB8C1BC54268C,11-10-2014T10:03,Energy Supplier
"Reach Energy, LLC",3DC6FE46-D000-4505-87C05686D6144D65,11-10-2014T10:03,Energy Supplier
"Reliable Power, LLC",25E084F1-C14E-4DE1-8013C79061E752C0,11-10-2014T10:03,Energy Supplier
Reliant Energy Retail Services,8976C15E-90B4-409D-8782D1B3CF15FEE1,11-10-2014T10:03,Energy Supplier
"Robison Energy, LLC",0D6181EB-23A9-4B57-A66115693BFB5BC2,11-10-2014T10:03,Energy Supplier
"Shell Energy North America (US), L.P.",A9360318-3725-471F-967759DA837EFE0,11-10-2014T10:03,Energy Supplier
Smart Prepaid Electric,ED56618C-3F52-48F2-BBA6BF58F6E67668,11-10-2014T10:03,Energy Supplier
"SmartCom Energy Services, LLC",5C1C4A8A-CFC2-46BC-995C89F2607BC1C,11-10-2014T10:03,Energy Supplier
South Jersey Energy Company,21856871-D759-4234-84EF1B167143472C,11-10-2014T10:03,Energy Supplier
"Spark Energy, LP",CBEE3CDD-E2E8-4B9A-89F0B1D8563FED69,11-10-2014T10:03,Energy Supplier
